# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     4.600         0         0        192535
     4.700         0         0        192536
     4.500         0         0        192538
     4.700         0         0        192539
     5.100         0         0        192542
     4.700         0         0        192543
     5.000         0         0        192546
     5.100         0         0        192559
     4.700         0         0        192562
     5.000         0         0        192565
     4.600         0         0        192570
     4.700         0         0        192589
     4.600         0         0        192593
     4.700         0         0        192597
     4.700         0         0        192599
     4.600         0         0        192601
     4.600         0         0        192602
     4.600         0         0        192608
     5.200         0         0        192612
     4.500         0         0        192630
     4.800         0         0        192632
     5.200         0         0        192640
     4.800         0         0        192641
     4.800         0         0        192642
     4.700         0         0        192644
     4.800         0         0        192646
     4.700         0         0        192657
     4.600         0         0        192662
     4.700         0         0        192666
     4.600         0         0        192670
     4.500         0         0        192685
     4.600         0         0        192689
     4.500         0         0        192695
     4.600         0         0        192698
     4.800         0         0        192706
     4.500         0         0        192713
     4.500         0         0        192720
     4.700         0         0        192721
     4.600         0         0        192728
     5.000         0         0        192734
     4.700         0         0        192735
     5.100         0         0        192742
     5.100         0         0        192743
     4.800         0         0        192745
     4.600         0         0        192747
     4.800         0         0        192748
     4.900         0         0        192751
     4.700         0         0        192753
     4.500         0         0        192756
     4.700         0         0        192765
     4.500         0         0        192766
     4.800         0         0        192768
     4.800         0         0        192771
     4.500         0         0        192774
     4.500         0         0        192776
     4.600         0         0        192780
     4.500         0         0        192789
     4.600         0         0        192791
     4.500         0         0        192795
     4.600         0         0        192796
     4.800         0         0        192798
     4.500         0         0        192801
     4.600         0         0        192809
     4.500         0         0        192812
     4.500         0         0        192814
     4.600         0         0        192815
     4.800         0         0        192816
     4.800         0         0        192830
     4.800         0         0        192838
     5.300         0         0        192840
     4.700         0         0        192854
     5.800         0         0        192855
     5.100         0         0        192862
     4.700         0         0        192864
     4.500         0         0        192869
     4.800         0         0        192879
     4.500         0         0        192882
     4.600         0         0        192888
     4.800         0         0        192892
     4.600         0         0        192894
     4.600         0         0        192895
     4.500         0         0        192901
     5.600         0         0        192909
     4.700         0         0        192910
     4.500         0         0        192915
     4.700         0         0        192928
     5.600         0         0        192930
     4.500         0         0        192936
     4.900         0         0        192939
     4.900         0         0        192942
     4.600         0         0        192945
     4.500         0         0        192951
     4.700         0         0        192952
     4.700         0         0        192960
     5.800         0         0        192961
     4.600         0         0        192963
     4.700         0         0        192968
     5.000         0         0        192969
     4.800         0         0        192972
     4.600         0         0        192974
     4.600         0         0        192975
     4.700         0         0        192978
     4.900         0         0        192980
     4.500         0         0        192981
     4.600         0         0        192983
     4.600         0         0        192993
     4.800         0         0        192995
     4.500         0         0        193001
     4.800         0         0        193006
     4.600         0         0        193011
     4.600         0         0        193012
     4.600         0         0        193018
     4.700         0         0        193021
     4.600         0         0        193030
     4.700         0         0        193031
     4.600         0         0        193033
     4.800         0         0        193039
     4.700         0         0        193040
     4.500         0         0        193042
     4.700         0         0        193043
     4.700         0         0        193051
     5.000         0         0        193054
     5.000         0         0        193056
     4.800         0         0        193068
     4.700         0         0        193069
     4.600         0         0        193077
     4.500         0         0        193078
     4.700         0         0        193080
     4.800         0         0        193086
     4.800         0         0        193089
     4.800         0         0        193094
     4.900         0         0        193099
     4.500         0         0        193100
     5.100         0         0        193103
     4.600         0         0        193109
     5.000         0         0        193119
     4.800         0         0        193120
     4.800         0         0        193121
     4.700         0         0        193126
     4.700         0         0        193128
     5.200         0         0        193131
     4.600         0         0        193132
     4.700         0         0        193135
     4.500         0         0        193136
     4.700         0         0        193142
     4.700         0         0        193144
     4.700         0         0        193152
     4.700         0         0        193154
     4.600         0         0        193155
     4.900         0         0        193162
     4.600         0         0        193167
     6.100         0         0        193169
     4.800         0         0        193171
     4.500         0         0        193173
     4.600         0         0        193174
     5.500         0         0        193184
     4.500         0         0        193189
     4.700         0         0        193192
     4.600         0         0        193194
     4.600         0         0        193199
     4.700         0         0        193203
