# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     4.500         0         0        190052
     4.600         0         0        190054
     4.700         0         0        190059
     4.700         0         0        190064
     4.600         0         0        190068
     5.100         0         0        190070
     5.000         0         0        190072
     4.900         0         0        190076
     4.900         0         0        190077
     4.600         0         0        190080
     4.700         0         0        190082
     4.700         0         0        190098
     4.800         0         0        190099
     5.000         0         0        190110
     4.500         0         0        190144
     4.900         0         0        190149
     4.500         0         0        190150
     4.600         0         0        190153
     4.700         0         0        190157
     4.600         0         0        190162
     4.600         0         0        190165
     4.500         0         0        190166
     4.900         0         0        190170
     4.900         0         0        190172
     4.600         0         0        190173
     4.600         0         0        190193
     5.100         0         0        190204
     4.800         0         0        190209
     4.800         0         0        190211
     4.800         0         0        190213
     4.700         0         0        190214
     4.800         0         0        190215
     4.700         0         0        190216
     4.700         0         0        190217
     4.700         0         0        190222
     4.800         0         0        190223
     4.500         0         0        190226
     4.700         0         0        190232
     4.800         0         0        190233
     4.700         0         0        190235
     4.700         0         0        190238
     4.500         0         0        190241
     4.700         0         0        190243
     4.700         0         0        190254
     5.400         0         0        190255
     4.900         0         0        190257
     4.500         0         0        190258
     4.700         0         0        190259
     4.500         0         0        190261
     4.500         0         0        190268
     5.000         0         0        190278
     4.500         0         0        190280
     4.700         0         0        190281
     4.600         0         0        190289
     4.500         0         0        190304
     4.900         0         0        190311
     4.800         0         0        190312
     5.200         0         0        190315
     4.700         0         0        190327
     4.800         0         0        190328
     4.900         0         0        190331
     4.700         0         0        190332
     4.800         0         0        190333
     4.700         0         0        190335
     4.700         0         0        190337
     4.900         0         0        190338
     4.700         0         0        190342
     4.800         0         0        190346
     4.600         0         0        190349
     4.600         0         0        190359
     5.200         0         0        190360
     4.500         0         0        190363
     4.600         0         0        190364
     4.800         0         0        190365
     5.200         0         0        190369
     4.600         0         0        190372
     4.500         0         0        190375
     4.500         0         0        190376
     4.800         0         0        190377
     4.500         0         0        190382
     4.500         0         0        190388
     4.700         0         0        190390
     5.200         0         0        190396
     4.600         0         0        190407
     4.800         0         0        190408
     5.000         0         0        190410
     4.700         0         0        190412
     4.500         0         0        190413
     4.800         0         0        190414
     4.800         0         0        190416
     4.700         0         0        190420
     4.800         0         0        190421
     4.700         0         0        190423
     4.500         0         0        190426
     4.600         0         0        190427
     4.700         0         0        190433
     4.600         0         0        190434
     4.800         0         0        190438
     4.500         0         0        190440
     4.500         0         0        190444
     4.600         0         0        190447
     4.600         0         0        190448
     4.700         0         0        190449
     4.800         0         0        190451
     4.600         0         0        190454
     4.600         0         0        190460
     4.500         0         0        190466
     4.600         0         0        190472
     4.700         0         0        190473
     4.600         0         0        190481
     4.600         0         0        190482
     4.600         0         0        190484
     5.000         0         0        190485
     4.700         0         0        190488
     4.800         0         0        190489
     4.800         0         0        190490
     4.900         0         0        190499
     4.700         0         0        190504
     4.700         0         0        190507
     4.700         0         0        190508
     5.000         0         0        190513
     4.700         0         0        190516
     4.500         0         0        190517
     4.500         0         0        190519
     4.800         0         0        190520
     4.500         0         0        190523
     4.500         0         0        190524
     4.800         0         0        190525
     4.600         0         0        190535
     5.400         0         0        190536
     4.600         0         0        190537
     4.700         0         0        190539
     4.600         0         0        190544
     4.500         0         0        190547
     4.800         0         0        190554
     4.900         0         0        190560
     5.500         0         0        190561
     4.600         0         0        190563
     4.900         0         0        190564
     4.500         0         0        190566
     6.000         0         0        190568
     4.700         0         0        190571
     4.700         0         0        190572
     4.700         0         0        190582
     4.600         0         0        190584
     4.600         0         0        190586
     4.500         0         0        190587
     5.400         0         0        190589
     4.900         0         0        190590
     4.500         0         0        190593
     4.700         0         0        190596
     4.700         0         0        190599
     5.000         0         0        190600
     4.800         0         0        190601
     4.800         0         0        190602
     4.800         0         0        190607
     4.800         0         0        190609
     4.800         0         0        190613
     4.700         0         0        190614
     4.500         0         0        190615
     4.500         0         0        190617
     4.900         0         0        190618
     4.500         0         0        190620
     4.500         0         0        190621
     4.800         0         0        190622
     4.500         0         0        190623
     4.600         0         0        190624
     4.600         0         0        190628
     4.900         0         0        190629
     4.800         0         0        190630
     4.700         0         0        190631
     5.700         0         0        190632
     4.900         0         0        190634
     4.800         0         0        190635
     4.600         0         0        190639
     4.700         0         0        190641
     4.600         0         0        190643
     4.800         0         0        190644
     4.800         0         0        190646
     4.600         0         0        190651
     5.000         0         0        190652
     4.700         0         0        190654
     4.900         0         0        190655
     5.000         0         0        190660
     4.900         0         0        190661
     5.300         0         0        190662
     4.800         0         0        190664
     4.700         0         0        190666
     4.600         0         0        190667
     4.700         0         0        190668
     5.000         0         0        190673
     4.700         0         0        190674
     4.800         0         0        190678
     4.700         0         0        190679
     4.600         0         0        190690
     4.500         0         0        190691
     4.700         0         0        190696
     4.700         0         0        190697
     4.600         0         0        190698
     4.600         0         0        190702
     4.900         0         0        190706
     4.800         0         0        190710
     4.500         0         0        190711
     4.700         0         0        190713
     4.700         0         0        190715
     4.800         0         0        190716
     4.800         0         0        190718
     4.600         0         0        190721
     4.800         0         0        190728
     4.700         0         0        190731
     4.700         0         0        190733
     4.700         0         0        190736
     4.500         0         0        190737
     4.500         0         0        190745
     4.700         0         0        190749
     4.900         0         0        190753
     4.800         0         0        190754
     4.500         0         0        190761
     4.500         0         0        190762
     4.500         0         0        190763
     4.500         0         0        190766
     4.800         0         0        190770
     4.700         0         0        190771
     4.700         0         0        190773
     4.800         0         0        190774
     4.700         0         0        190777
     4.700         0         0        190778
     4.500         0         0        190779
     4.900         0         0        190780
     4.700         0         0        190781
     4.900         0         0        190782
     4.800         0         0        190784
     4.500         0         0        190786
     4.700         0         0        190787
     4.800         0         0        190789
     4.600         0         0        190791
     4.800         0         0        190792
     4.500         0         0        190794
     4.500         0         0        190798
     4.600         0         0        190799
     4.700         0         0        190800
     4.600         0         0        190802
     4.600         0         0        190804
     4.500         0         0        190816
     5.000         0         0        190817
     4.800         0         0        190823
     4.700         0         0        190824
     4.700         0         0        190826
     4.900         0         0        190827
     4.700         0         0        190828
     4.900         0         0        190831
     5.300         0         0        190832
     4.700         0         0        190834
     4.500         0         0        190836
     4.900         0         0        190840
     4.700         0         0        190842
     4.600         0         0        190844
     4.700         0         0        190845
     4.800         0         0        190849
     4.800         0         0        190850
     5.200         0         0        190853
     4.500         0         0        190854
     4.700         0         0        190855
     4.600         0         0        190856
     4.500         0         0        190860
     4.700         0         0        190866
     5.000         0         0        190870
     4.700         0         0        190873
