# MAG          N-AS          N-FS        MS-ID; note N_AS=0 highlights singles or FS only
     4.700         0         0        183642
     4.800         0         0        183643
     4.500         0         0        183647
     4.700         0         0        183648
     4.600         0         0        183651
     5.400         0         0        183652
     4.700         0         0        183676
     4.700         0         0        183712
     5.000         0         0        183716
     4.700         0         0        183719
     4.900         0         0        183722
     4.800         0         0        183726
     4.700         0         0        183728
     4.500         0         0        183747
     4.800         0         0        183767
     4.500         0         0        183772
     5.200         0         0        183779
     4.700         0         0        183792
     4.500         0         0        183796
     4.500         0         0        183810
     4.600         0         0        183825
     4.900         0         0        183828
     4.700         0         0        183834
     4.500         0         0        183840
     4.800         0         0        183849
     4.500         0         0        183852
     4.700         0         0        183855
     4.600         0         0        183869
     5.300         0         0        183886
     4.600         0         0        183907
     4.500         0         0        183920
     4.600         0         0        183923
     4.500         0         0        183928
     4.800         0         0        183930
     5.300         0         0        183933
     5.300         0         0        183940
     4.600         0         0        183965
     5.200         0         0        183983
     4.800         0         0        183998
     4.700         0         0        184004
     4.600         0         0        184018
     4.600         0         0        184022
     4.500         0         0        184032
     4.700         0         0        184034
     4.700         0         0        184041
     5.600         0         0        184051
     4.700         0         0        184063
     4.700         0         0        184106
     4.500         0         0        184109
     4.600         0         0        184130
     4.700         0         0        184164
     5.000         0         0        184168
